('CZ75-Auto | Tuxedo', False, False)
('AK-47 | Slate', True, False)
('AK-47 | Ice Coaled', True, False)
('AK-47 | Nightwish', True, False)
('AK-47 | Legion of Anubis', True, False)
('AK-47 | The Outsiders', True, False)
('AK-47 | Asiimov', True, False)
('AK-47 | Head Shot', True, False)
('AK-47 | Elite Build', True, False)
('AK-47 | The Empress', True, False)
('AK-47 | Phantom Disruptor', True, False)
('AK-47 | Redline', True, False)
('AK-47 | Frontside Misty', True, False)
('AK-47 | Neon Revolution', True, False)
('AK-47 | Bloodsport', True, False)
('AK-47 | Aquamarine Revenge', True, False)
('AK-47 | Crossfade', False, False)
('AK-47 | Neon Rider', True, False)
('AK-47 | Point Disarray', True, False)
('AK-47 | Uncharted', True, False)
('AK-47 | Emerald Pinstripe', False, False)
('AK-47 | Cartel', True, False)
('AK-47 | Orbit Mk01', True, False)
('AK-47 | Vulcan', True, False)
('AK-47 | Safety Net', False, True)
('AK-47 | B the Monster', False, False)
('AK-47 | Rat Rod', True, False)
('AK-47 | Steel Delta', False, True)
('AK-47 | Fuel Injector', True, False)
('AK-47 | Blue Laminate', True, False)
('AK-47 | Leet Museo', True, False)
('AK-47 | Olive Polycam', False, False)
('AK-47 | Case Hardened', True, False)
('AK-47 | Wasteland Rebel', True, False)
('AK-47 | Jaguar', True, False)
('AK-47 | Green Laminate', False, True)
('AK-47 | Red Laminate', True, False)
('AK-47 | Safari Mesh', False, True)
('AK-47 | Baroque Purple', False, False)
('AK-47 | First Class', False, False)
('AK-47 | Black Laminate', False, True)
('AK-47 | Panthera onca', False, True)
('AK-47 | Predator', False, False)
('AK-47 | Jungle Spray', False, False)
('AK-47 | Gold Arabesque', False, True)
('AK-47 | X-Ray', False, False)
('AK-47 | Jet Set', False, False)
('AK-47 | Fire Serpent', True, False)
('AK-47 | Wild Lotus', False, False)
('AK-47 | Hydroponic', False, False)
('AUG | Eye of Zapems', False, False)
("AUG | Lil' Pig", False, False)
('AUG | Chameleon', True, False)
('AUG | Momentum', True, False)
('AUG | Stymphalian', True, False)
('AUG | Wings', True, False)
('AUG | Arctic Wolf', True, False)
('AUG | Random Access', False, True)
('AUG | Luxe Trim', True, False)
('AUG | Syd Mead', True, False)
('AUG | Death by Puppy', True, False)
('AUG | Fleet Flock', True, False)
('AUG | Torque', True, False)
('AUG | Aristocrat', True, False)
('AUG | Bengal Tiger', True, False)
('AUG | Carved Jade', False, True)
('AUG | Condemned', False, True)
('AUG | Plague', True, False)
('AUG | Storm', False, True)
('AUG | Triqua', True, False)
('AUG | Copperhead', False, False)
('AUG | Tom Cat', True, False)
('AUG | Snake Pit', False, True)
('AUG | Radiation Hazard', False, True)
('AUG | Ricochet', True, False)
('AUG | Sweeper', False, True)
('AUG | Amber Slipstream', True, False)
('AUG | Spalted Wood', False, True)
('AUG | Sand Storm', False, True)
('AUG | Daedalus', False, False)
('AUG | Navy Murano', False, False)
('AUG | Surveillance', False, False)
('AUG | Contractor', False, True)
('AUG | Amber Fade', False, False)
('AUG | Colony', False, True)
('AUG | Akihabara Accept', False, False)
('AUG | Hot Rod', False, False)
('AUG | Anodized Navy', False, False)
('AUG | Flame Jörmungandr', False, False)
('AUG | Midnight Lily', False, False)
('FAMAS | Rapid Eye Movement', True, False)
('FAMAS | Mecha Industries', True, False)
('FAMAS | Roll Cage', True, False)
('FAMAS | ZX Spectron', True, False)
('FAMAS | Teardown', False, True)
('FAMAS | Commemoration', True, False)
('FAMAS | Valence', True, False)
('FAMAS | Prime Conspiracy', False, False)
('FAMAS | Eye of Athena', True, False)
('FAMAS | Djinn', True, False)
('FAMAS | Sergeant', True, False)
('FAMAS | Waters of Nephthys', False, True)
('FAMAS | Meow 36', True, False)
('FAMAS | Halftone Wash', False, False)
('FAMAS | Pulse', True, False)
('FAMAS | Survivor Z', True, False)
('FAMAS | Neural Net', True, False)
('FAMAS | Half Sleeve', False, False)
('FAMAS | Afterimage', True, False)
('FAMAS | Styx', False, True)
('FAMAS | Crypsis', True, False)
('FAMAS | Decommissioned', True, False)
('FAMAS | Cyanospatter', False, True)
('FAMAS | Meltdown', False, False)
('FAMAS | Hexane', True, False)
('FAMAS | CaliCamo', False, True)
('FAMAS | Night Borre', False, False)
('FAMAS | Doomkitty', True, False)
('FAMAS | Faulty Wiring', False, True)
('FAMAS | Dark Water', False, True)
('FAMAS | Colony', False, True)
('FAMAS | Macabre', True, False)
('FAMAS | Spitfire', False, False)
('FAMAS | Contrast Spray', False, False)
('FAMAS | Sundown', False, False)
('Galil AR | Rainbow Spoon', False, False)
('Galil AR | Chromatic Aberration', True, False)
('Galil AR | Tuxedo', False, False)
('Galil AR | Connexion', True, False)
('Galil AR | Eco', True, False)
('Galil AR | Rocket Pop', True, False)
('Galil AR | Chatterbox', True, False)
('Galil AR | Metallic Squeezer', False, False)
('Galil AR | Stone Cold', True, False)
('Galil AR | Cerberus', False, True)
('Galil AR | Signal', True, False)
('Galil AR | Crimson Tsunami', True, False)
('Galil AR | Cold Fusion', False, True)
('Galil AR | Sugar Rush', True, False)
('Galil AR | Destroyer', True, False)
('Galil AR | NV', False, False)
('Galil AR | Firefight', True, False)
('Galil AR | VariCamo', False, True)
('Galil AR | Dusk Ruins', False, True)
('Galil AR | Akoben', True, False)
('Galil AR | CAUTION!', False, True)
('Galil AR | Vandal', True, False)
('Galil AR | Amber Fade', False, True)
('Galil AR | Kami', True, False)
('Galil AR | Urban Rubble', False, False)
('Galil AR | Phoenix Blacklight', False, False)
('Galil AR | Sandstorm', True, False)
('Galil AR | Blue Titanium', True, False)
('Galil AR | Black Sand', True, False)
('Galil AR | Tornado', False, False)
('Galil AR | Hunting Blind', False, True)
('Galil AR | Orange DDPAT', True, False)
('Galil AR | Sage Spray', False, True)
('Galil AR | Winter Forest', False, False)
('Galil AR | Shattered', True, False)
('Galil AR | Aqua Terrace', False, False)
('M4A1-S | Black Lotus', True, False)
('M4A1-S | Vaporwave', True, False)
('M4A1-S | Night Terror', True, False)
('M4A1-S | Decimator', True, False)
('M4A1-S | Nightmare', True, False)
('M4A1-S | Printstream', True, False)
('M4A1-S | Emphorosaur-S', True, False)
('M4A1-S | Hyper Beast', True, False)
('M4A1-S | Player Two', True, False)
('M4A1-S | Leaded Glass', True, False)
("M4A1-S | Chantico's Fire", True, False)
('M4A1-S | Fade', False, False)
('M4A1-S | Mecha Industries', True, False)
('M4A1-S | Cyrex', True, False)
('M4A1-S | Golden Coil', True, False)
('M4A1-S | Basilisk', True, False)
('M4A1-S | Nitro', False, True)
('M4A1-S | Blood Tiger', True, False)
('M4A1-S | Mud-Spec', False, True)
('M4A1-S | Control Panel', False, True)
('M4A1-S | VariCamo', False, True)
('M4A1-S | Flashback', True, False)
('M4A1-S | Wash me plz', False, False)
('M4A1-S | Atomic Alloy', True, False)
('M4A1-S | Imminent Danger', False, True)
('M4A1-S | Guardian', True, False)
('M4A1-S | Briefing', True, False)
('M4A1-S | Moss Quartz', False, False)
('M4A1-S | Fizzy POP', False, False)
('M4A1-S | Bright Water', True, False)
('M4A1-S | Boreal Forest', False, True)
('M4A1-S | Master Piece', False, True)
('M4A1-S | Dark Water', True, False)
('M4A1-S | Welcome to the Jungle', False, True)
('M4A1-S | Blue Phosphor', False, False)
('M4A1-S | Icarus Fell', False, False)
('M4A1-S | Hot Rod', False, False)
('M4A1-S | Knight', False, True)
('M4A4 | Temukau', True, False)
('M4A4 | Neo-Noir', True, False)
('M4A4 | Tooth Fairy', True, False)
('M4A4 | Desolate Space', True, False)
('M4A4 | The Emperor', True, False)
('M4A4 | Spider Lily', True, False)
('M4A4 | In Living Color', True, False)
('M4A4 | Turbine', True, False)
('M4A4 | 龍王 (Dragon King)', True, False)
('M4A4 | Etch Lord', True, False)
('M4A4 | Buzz Kill', True, False)
('M4A4 | Evil Daimyo', True, False)
('M4A4 | Asiimov', True, False)
('M4A4 | Magnesium', True, False)
('M4A4 | Converter', False, True)
('M4A4 | Polysoup', False, False)
('M4A4 | Cyber Security', True, False)
('M4A4 | Royal Paladin', True, False)
('M4A4 | Griffin', True, False)
('M4A4 | Jungle Tiger', False, False)
('M4A4 | Urban DDPAT', False, True)
('M4A4 | Poly Mag', True, False)
('M4A4 | The Battlestar', True, False)
('M4A4 | Eye of Horus', False, True)
('M4A4 | The Coalition', False, False)
('M4A4 | Desert-Strike', True, False)
('M4A4 | Bullet Rain', True, False)
('M4A4 | Hellfire', True, False)
('M4A4 | Mainframe', False, True)
('M4A4 | Global Offensive', False, False)
('M4A4 | Dark Blossom', False, False)
('M4A4 | Red DDPAT', False, True)
('M4A4 | Radiation Hazard', False, True)
('M4A4 | Zirka', True, False)
('M4A4 | Tornado', False, True)
('M4A4 | Desert Storm', False, False)
('M4A4 | X-Ray', True, False)
('M4A4 | Faded Zebra', True, False)
('M4A4 | Modern Hunter', False, False)
('M4A4 | Poseidon', False, False)
('M4A4 | Howl', True, False)
('M4A4 | Daybreak', False, False)
('SG 553 | Anodized Navy', False, True)
('SG 553 | Dragon Tech', True, False)
('SG 553 | Integrale', False, True)
('SG 553 | Pulse', True, False)
('SG 553 | Damascus Steel', False, True)
('SG 553 | Ultraviolet', True, False)
('SG 553 | Bulldozer', False, False)
('SG 553 | Cyrex', True, False)
('SG 553 | Darkwing', True, False)
('SG 553 | Berry Gel Coat', False, False)
("SG 553 | Ol' Rusty", True, False)
('SG 553 | Cyberforce', True, False)
('SG 553 | Heavy Metal', True, False)
('SG 553 | Phantom', True, False)
('SG 553 | Tiger Moth', True, False)
('SG 553 | Colony IV', True, False)
('SG 553 | Gator Mesh', False, True)
('SG 553 | Aloha', True, False)
('SG 553 | Candy Apple', False, False)
('SG 553 | Barricade', False, False)
('SG 553 | Army Sheen', False, False)
('SG 553 | Triarch', True, False)
('SG 553 | Hypnotic', False, False)
('SG 553 | Hazard Pay', False, True)
('SG 553 | Wave Spray', True, False)
('SG 553 | Aerial', True, False)
('SG 553 | Danger Close', True, False)
('SG 553 | Waves Perforated', False, True)
('SG 553 | Fallout Warning', False, True)
('SG 553 | Bleached', False, True)
('SG 553 | Tornado', False, False)
('SG 553 | Lush Ruins', False, True)
('SG 553 | Desert Blossom', False, True)
('SG 553 | Traveler', False, False)
('SG 553 | Atlas', True, False)
('AWP | Chrome Cannon', True, False)
('AWP | Atheris', True, False)
('AWP | Chromatic Aberration', True, False)
('AWP | Neo-Noir', True, False)
('AWP | Crakow!', False, False)
('AWP | Duality', True, False)
('AWP | Asiimov', True, False)
('AWP | Mortis', True, False)
('AWP | Wildfire', True, False)
('AWP | Hyper Beast', True, False)
('AWP | Fever Dream', True, False)
('AWP | Black Nile', False, True)
('AWP | Lightning Strike', True, False)
('AWP | Worm God', True, False)
('AWP | Exoskeleton', True, False)
('AWP | Capillary', True, False)
('AWP | PAW', True, False)
('AWP | Acheron', False, True)
('AWP | Containment Breach', True, False)
('AWP | Redline', True, False)
('AWP | Phobos', True, False)
('AWP | CMYK', False, False)
('AWP | Sun in Leo', False, False)
('AWP | Pit Viper', False, True)
('AWP | Graphite', True, False)
('AWP | POP AWP', False, False)
('AWP | Elite Build', True, False)
("AWP | Man-o'-war", True, False)
('AWP | Corticera', True, False)
('AWP | BOOM', True, False)
('AWP | Pink DDPAT', False, True)
('AWP | Safari Mesh', False, True)
('AWP | Silk Tiger', False, False)
('AWP | Snake Camo', False, False)
('AWP | Oni Taiji', True, False)
('AWP | Electric Hive', True, False)
('AWP | Desert Hydra', False, True)
('AWP | Fade', False, False)
('AWP | Gungnir', False, False)
('AWP | The Prince', False, False)
('AWP | Medusa', False, False)
('AWP | Dragon Lore', False, True)
('G3SG1 | Dream Glade', True, False)
('G3SG1 | Flux', True, False)
('G3SG1 | Green Apple', False, False)
('G3SG1 | High Seas', True, False)
('G3SG1 | Scavenger', True, False)
('G3SG1 | Jungle Dashed', False, True)
('G3SG1 | VariCamo', False, True)
('G3SG1 | The Executioner', True, False)
('G3SG1 | Violet Murano', False, False)
('G3SG1 | Orange Kimono', False, False)
('G3SG1 | Stinger', True, False)
('G3SG1 | Black Sand', True, False)
('G3SG1 | Keeping Tabs', True, False)
('G3SG1 | Hunter', True, False)
('G3SG1 | Arctic Camo', False, False)
('G3SG1 | Desert Storm', False, True)
('G3SG1 | Polar Camo', False, True)
('G3SG1 | Azure Zebra', True, False)
('G3SG1 | Ventilator', True, False)
('G3SG1 | Orange Crash', True, False)
('G3SG1 | Contractor', False, False)
('G3SG1 | New Roots', False, True)
('G3SG1 | Demeter', True, False)
('G3SG1 | Digital Mesh', True, False)
('G3SG1 | Murky', True, False)
('G3SG1 | Ancient Ritual', False, True)
('G3SG1 | Safari Mesh', False, True)
('G3SG1 | Chronos', False, False)
('SCAR-20 | Trail Blazer', True, False)
('SCAR-20 | Cyrex', True, False)
('SCAR-20 | Carbon Fiber', False, True)
('SCAR-20 | Wild Berry', False, False)
('SCAR-20 | Poultrygeist', True, False)
('SCAR-20 | Bloodsport', True, False)
('SCAR-20 | Fragments', True, False)
('SCAR-20 | Enforcer', True, False)
('SCAR-20 | Brass', False, False)
('SCAR-20 | Cardiac', True, False)
('SCAR-20 | Crimson Web', True, False)
('SCAR-20 | Magna Carta', False, False)
('SCAR-20 | Storm', False, True)
('SCAR-20 | Blueprint', True, False)
('SCAR-20 | Powercore', True, False)
('SCAR-20 | Palm', False, False)
('SCAR-20 | Outbreak', True, False)
('SCAR-20 | Grotto', True, False)
('SCAR-20 | Jungle Slipstream', True, False)
('SCAR-20 | Assault', True, False)
('SCAR-20 | Sand Mesh', False, True)
('SCAR-20 | Army Sheen', False, False)
('SCAR-20 | Contractor', False, True)
('SCAR-20 | Green Marine', True, False)
('SCAR-20 | Stone Mosaico', False, False)
('SCAR-20 | Emerald', False, False)
('SCAR-20 | Torn', True, False)
('SCAR-20 | Splash Jam', False, False)
('SSG 08 | Dragonfire', True, False)
('SSG 08 | Rapid Transit', True, False)
('SSG 08 | Fever Dream', True, False)
('SSG 08 | Acid Fade', False, True)
('SSG 08 | Turbo Peek', True, False)
('SSG 08 | Zeno', False, False)
('SSG 08 | Big Iron', True, False)
('SSG 08 | Dezastre', True, False)
('SSG 08 | Abyss', True, False)
('SSG 08 | Bloodshot', True, False)
('SSG 08 | Parallax', True, False)
('SSG 08 | Mainframe 001', True, False)
('SSG 08 | Ghost Crusader', True, False)
('SSG 08 | Hand Brake', False, True)
('SSG 08 | Blood in the Water', True, False)
('SSG 08 | Slashed', True, False)
('SSG 08 | Sand Dune', False, False)
('SSG 08 | Carbon Fiber', False, True)
("SSG 08 | Death's Head", True, False)
('SSG 08 | Necropos', True, False)
('SSG 08 | Threat Detected', False, False)
('SSG 08 | Halftone Whorl', False, False)
('SSG 08 | Azure Glyph', False, True)
('SSG 08 | Red Stone', False, False)
('SSG 08 | Detour', False, True)
('SSG 08 | Dark Water', True, False)
('SSG 08 | Tropical Storm', False, True)
('SSG 08 | Spring Twilly', False, False)
('SSG 08 | Blue Spruce', False, True)
('SSG 08 | Death Strike', False, True)
('SSG 08 | Prey', False, True)
('SSG 08 | Mayan Dreams', False, False)
('SSG 08 | Jungle Dashed', False, True)
('SSG 08 | Lichen Dashed', False, False)
('SSG 08 | Orange Filigree', False, False)
('SSG 08 | Sea Calico', False, False)
('M249 | Downtown', True, False)
('M249 | Nebula Crusader', True, False)
('M249 | Hypnosis', True, False)
('M249 | O.S.I.P.R.', True, False)
('M249 | Emerald Poison Dart', True, False)
('M249 | Spectrogram', False, False)
('M249 | Gator Mesh', False, True)
('M249 | Contrast Spray', False, True)
('M249 | Jungle', False, False)
('M249 | Aztec', True, False)
('M249 | Spectre', True, False)
('M249 | Midnight Palm', False, True)
('M249 | Shipping Forecast', False, False)
('M249 | Impact Drill', False, False)
('M249 | System Lock', True, False)
('M249 | Warbird', True, False)
('M249 | Humidor', False, True)
('M249 | Submerged', False, True)
('M249 | Deep Relief', True, False)
('M249 | Jungle DDPAT', False, False)
('M249 | Magma', True, False)
('M249 | Predator', False, False)
('M249 | Blizzard Marbleized', False, False)
('Negev | CaliCamo', False, True)
('Negev | Power Loader', True, False)
('Negev | Wall Bang', False, False)
('Negev | Ultralight', True, False)
('Negev | dev_texture', True, False)
('Negev | Drop Me', True, False)
('Negev | Bulkhead', False, True)
('Negev | Lionfish', True, False)
('Negev | Terrain', True, False)
('Negev | Loudmouth', True, False)
('Negev | Dazzle', True, False)
('Negev | Bratatat', True, False)
('Negev | Prototype', True, False)
('Negev | Army Sheen', False, False)
('Negev | Nuclear Waste', False, True)
("Negev | Man-o'-war", True, False)
('Negev | Desert-Strike', True, False)
('Negev | Boroque Sand', False, False)
('Negev | Infrastructure', False, True)
('Negev | Phoenix Stencil', False, False)
('Negev | Palm', False, False)
('Negev | Mjölnir', False, False)
('Negev | Anodized Navy', False, False)
('★ Bayonet | Doppler', True, False)
('★ Bayonet | Lore', True, False)
('★ Bayonet | Blue Steel', True, False)
('★ Bayonet | Damascus Steel', True, False)
('★ Bayonet | Freehand', True, False)
('★ Bayonet | Marble Fade', True, False)
('★ Bayonet | Tiger Tooth', True, False)
('★ Bayonet', True, False)
('★ Bayonet | Boreal Forest', True, False)
('★ Bayonet | Bright Water', True, False)
('★ Bayonet | Crimson Web', True, False)
('★ Bayonet | Stained', True, False)
('★ Bayonet | Urban Masked', True, False)
('★ Bayonet | Ultraviolet', True, False)
('★ Bayonet | Safari Mesh', True, False)
('★ Bayonet | Scorched', True, False)
('★ Bayonet | Night', True, False)
('★ Bayonet | Forest DDPAT', True, False)
('★ Bayonet | Autotronic', True, False)
('★ Bayonet | Black Laminate', True, False)
('★ Bayonet | Rust Coat', True, False)
('★ Bayonet | Case Hardened', True, False)
('★ Bayonet | Slaughter', True, False)
('★ Bayonet | Gamma Doppler', True, False)
('★ Bayonet | Fade', True, False)
('★ Bowie Knife | Lore', True, False)
('★ Bowie Knife | Autotronic', True, False)
('★ Bowie Knife | Bright Water', True, False)
('★ Bowie Knife | Marble Fade', True, False)
('★ Bowie Knife | Fade', True, False)
('★ Bowie Knife | Ultraviolet', True, False)
('★ Bowie Knife | Gamma Doppler', True, False)
('★ Bowie Knife | Safari Mesh', True, False)
('★ Bowie Knife | Damascus Steel', True, False)
('★ Bowie Knife | Freehand', True, False)
('★ Bowie Knife | Crimson Web', True, False)
('★ Bowie Knife | Tiger Tooth', True, False)
('★ Bowie Knife | Doppler', True, False)
('★ Bowie Knife | Stained', True, False)
('★ Bowie Knife | Black Laminate', True, False)
('★ Bowie Knife | Scorched', True, False)
('★ Bowie Knife | Forest DDPAT', True, False)
('★ Bowie Knife | Urban Masked', True, False)
('★ Bowie Knife | Boreal Forest', True, False)
('★ Bowie Knife', True, False)
('★ Bowie Knife | Rust Coat', True, False)
('★ Bowie Knife | Night', True, False)
('★ Bowie Knife | Case Hardened', True, False)
('★ Bowie Knife | Blue Steel', True, False)
('★ Bowie Knife | Slaughter', True, False)
('★ Butterfly Knife | Urban Masked', True, False)
('★ Butterfly Knife | Bright Water', True, False)
('★ Butterfly Knife | Boreal Forest', True, False)
('★ Butterfly Knife | Lore', True, False)
('★ Butterfly Knife | Forest DDPAT', True, False)
('★ Butterfly Knife | Black Laminate', True, False)
('★ Butterfly Knife | Autotronic', True, False)
('★ Butterfly Knife | Freehand', True, False)
('★ Butterfly Knife | Gamma Doppler', True, False)
('★ Butterfly Knife', True, False)
('★ Butterfly Knife | Safari Mesh', True, False)
('★ Butterfly Knife | Scorched', True, False)
('★ Butterfly Knife | Ultraviolet', True, False)
('★ Butterfly Knife | Night', True, False)
('★ Butterfly Knife | Crimson Web', True, False)
('★ Butterfly Knife | Rust Coat', True, False)
('★ Butterfly Knife | Case Hardened', True, False)
('★ Butterfly Knife | Stained', True, False)
('★ Butterfly Knife | Damascus Steel', True, False)
('★ Butterfly Knife | Blue Steel', True, False)
('★ Butterfly Knife | Tiger Tooth', True, False)
('★ Butterfly Knife | Slaughter', True, False)
('★ Butterfly Knife | Marble Fade', True, False)
('★ Butterfly Knife | Doppler', True, False)
('★ Butterfly Knife | Fade', True, False)
('★ Classic Knife | Night Stripe', True, False)
('★ Classic Knife | Boreal Forest', True, False)
('★ Classic Knife | Scorched', True, False)
('★ Classic Knife | Urban Masked', True, False)
('★ Classic Knife', True, False)
('★ Classic Knife | Stained', True, False)
('★ Classic Knife | Safari Mesh', True, False)
('★ Classic Knife | Forest DDPAT', True, False)
('★ Classic Knife | Crimson Web', True, False)
('★ Classic Knife | Case Hardened', True, False)
('★ Classic Knife | Blue Steel', True, False)
('★ Classic Knife | Slaughter', True, False)
('★ Classic Knife | Fade', True, False)
('★ Falchion Knife | Lore', True, False)
('★ Falchion Knife | Freehand', True, False)
('★ Falchion Knife | Bright Water', True, False)
('★ Falchion Knife | Marble Fade', True, False)
('★ Falchion Knife | Slaughter', True, False)
('★ Falchion Knife | Black Laminate', True, False)
('★ Falchion Knife | Autotronic', True, False)
('★ Falchion Knife | Ultraviolet', True, False)
('★ Falchion Knife | Blue Steel', True, False)
('★ Falchion Knife | Night', True, False)
('★ Falchion Knife | Damascus Steel', True, False)
('★ Falchion Knife | Scorched', True, False)
('★ Falchion Knife | Safari Mesh', True, False)
('★ Falchion Knife | Tiger Tooth', True, False)
('★ Falchion Knife | Crimson Web', True, False)
('★ Falchion Knife | Rust Coat', True, False)
('★ Falchion Knife | Urban Masked', True, False)
('★ Falchion Knife | Case Hardened', True, False)
('★ Falchion Knife', True, False)
('★ Falchion Knife | Gamma Doppler', True, False)
('★ Falchion Knife | Boreal Forest', True, False)
('★ Falchion Knife | Forest DDPAT', True, False)
('★ Falchion Knife | Stained', True, False)
('★ Falchion Knife | Doppler', True, False)
('★ Falchion Knife | Fade', True, False)
('★ Flip Knife | Damascus Steel', True, False)
('★ Flip Knife | Fade', True, False)
('★ Flip Knife | Lore', True, False)
('★ Flip Knife | Freehand', True, False)
('★ Flip Knife | Black Laminate', True, False)
('★ Flip Knife | Scorched', True, False)
('★ Flip Knife | Night', True, False)
('★ Flip Knife', True, False)
('★ Flip Knife | Safari Mesh', True, False)
('★ Flip Knife | Autotronic', True, False)
('★ Flip Knife | Blue Steel', True, False)
('★ Flip Knife | Case Hardened', True, False)
('★ Flip Knife | Rust Coat', True, False)
('★ Flip Knife | Boreal Forest', True, False)
('★ Flip Knife | Urban Masked', True, False)
('★ Flip Knife | Ultraviolet', True, False)
('★ Flip Knife | Crimson Web', True, False)
('★ Flip Knife | Bright Water', True, False)
('★ Flip Knife | Forest DDPAT', True, False)
('★ Flip Knife | Stained', True, False)
('★ Flip Knife | Tiger Tooth', True, False)
('★ Flip Knife | Slaughter', True, False)
('★ Flip Knife | Marble Fade', True, False)
('★ Flip Knife | Gamma Doppler', True, False)
('★ Flip Knife | Doppler', True, False)
('★ Gut Knife | Doppler', True, False)
('★ Gut Knife | Lore', True, False)
('★ Gut Knife | Ultraviolet', True, False)
('★ Gut Knife | Autotronic', True, False)
('★ Gut Knife | Blue Steel', True, False)
('★ Gut Knife | Marble Fade', True, False)
('★ Gut Knife | Freehand', True, False)
('★ Gut Knife | Bright Water', True, False)
('★ Gut Knife | Boreal Forest', True, False)
('★ Gut Knife | Case Hardened', True, False)
('★ Gut Knife | Crimson Web', True, False)
('★ Gut Knife | Damascus Steel', True, False)
('★ Gut Knife | Black Laminate', True, False)
('★ Gut Knife | Slaughter', True, False)
('★ Gut Knife | Night', True, False)
('★ Gut Knife', True, False)
('★ Gut Knife | Scorched', True, False)
('★ Gut Knife | Stained', True, False)
('★ Gut Knife | Rust Coat', True, False)
('★ Gut Knife | Urban Masked', True, False)
('★ Gut Knife | Safari Mesh', True, False)
('★ Gut Knife | Forest DDPAT', True, False)
('★ Gut Knife | Tiger Tooth', True, False)
('★ Gut Knife | Gamma Doppler', True, False)
('★ Gut Knife | Fade', True, False)
('Huntsman Knife | Lore', True, False)
('Huntsman Knife | Gamma Doppler', True, False)
('Huntsman Knife | Bright Water', True, False)
('Huntsman Knife | Freehand', True, False)
('Huntsman Knife | Autotronic', True, False)
('Huntsman Knife | Black Laminate', True, False)
('Huntsman Knife | Damascus Steel', True, False)
('Huntsman Knife | Marble Fade', True, False)
('Huntsman Knife | Tiger Tooth', True, False)
('Huntsman Knife | Slaughter', True, False)
('Huntsman Knife | Ultraviolet', True, False)
('Huntsman Knife | Stained', True, False)
('Huntsman Knife | Night', True, False)
('Huntsman Knife | Urban Masked', True, False)
('Huntsman Knife | Boreal Forest', True, False)
('Huntsman Knife | Case Hardened', True, False)
('Huntsman Knife', True, False)
('Huntsman Knife | Blue Steel', True, False)
('Huntsman Knife | Forest DDPAT', True, False)
('Huntsman Knife | Rust Coat', True, False)
('Huntsman Knife | Safari Mesh', True, False)
('Huntsman Knife | Scorched', True, False)
('Huntsman Knife | Crimson Web', True, False)
('Huntsman Knife | Doppler', True, False)
('Huntsman Knife | Fade', True, False)
('Karambit | Rust Coat', True, False)
('Karambit | Ultraviolet', True, False)
('Karambit | Scorched', True, False)
('Karambit', True, False)
('Karambit | Urban Masked', True, False)
('Karambit | Safari Mesh', True, False)
('Karambit | Night', True, False)
('Karambit | Crimson Web', True, False)
('Karambit | Bright Water', True, False)
('Karambit | Boreal Forest', True, False)
('Karambit | Forest DDPAT', True, False)
('Karambit | Autotronic', True, False)
('Karambit | Black Laminate', True, False)
('Karambit | Lore', True, False)
('Karambit | Case Hardened', True, False)
('Karambit | Stained', True, False)
('Karambit | Damascus Steel', True, False)
('Karambit | Blue Steel', True, False)
('Karambit | Tiger Tooth', True, False)
('Karambit | Slaughter', True, False)
('Karambit | Freehand', True, False)
('Karambit | Marble Fade', True, False)
('Karambit | Gamma Doppler', True, False)
('Karambit | Doppler', True, False)
('Karambit | Fade', True, False)
('Kukri Knife | Case Hardened', True, False)
('Kukri Knife | Safari Mesh', True, False)
('Kukri Knife | Slaughter', True, False)
('Kukri Knife | Boreal Forest', True, False)
('Kukri Knife | Forest DDPAT', True, False)
('Kukri Knife', True, False)
('Kukri Knife | Night Stripe', True, False)
('Kukri Knife | Fade', True, False)
('Kukri Knife | Stained', True, False)
('Kukri Knife | Crimson Web', True, False)
('Kukri Knife | Scorched', True, False)
('Kukri Knife | Urban Masked', True, False)
('Kukri Knife | Blue Steel', True, False)
('★ M9 Bayonet | Slaughter', True, False)
('★ M9 Bayonet | Urban Masked', True, False)
('★ M9 Bayonet | Ultraviolet', True, False)
('★ M9 Bayonet | Stained', True, False)
('★ M9 Bayonet | Night', True, False)
('★ M9 Bayonet', True, False)
('★ M9 Bayonet | Safari Mesh', True, False)
('★ M9 Bayonet | Scorched', True, False)
('★ M9 Bayonet | Crimson Web', True, False)
('★ M9 Bayonet | Bright Water', True, False)
('★ M9 Bayonet | Boreal Forest', True, False)
('★ M9 Bayonet | Forest DDPAT', True, False)
('★ M9 Bayonet | Autotronic', True, False)
('★ M9 Bayonet | Black Laminate', True, False)
('★ M9 Bayonet | Lore', True, False)
('★ M9 Bayonet | Rust Coat', True, False)
('★ M9 Bayonet | Case Hardened', True, False)
('★ M9 Bayonet | Damascus Steel', True, False)
('★ M9 Bayonet | Blue Steel', True, False)
('★ M9 Bayonet | Tiger Tooth', True, False)
('★ M9 Bayonet | Freehand', True, False)
('★ M9 Bayonet | Marble Fade', True, False)
('★ M9 Bayonet | Gamma Doppler', True, False)
('★ M9 Bayonet | Doppler', True, False)
('★ M9 Bayonet | Fade', True, False)
('★ Navaja Knife | Ultraviolet', True, False)
('★ Navaja Knife | Doppler', True, False)
('★ Navaja Knife | Damascus Steel', True, False)
('★ Navaja Knife | Rust Coat', True, False)
('★ Navaja Knife | Scorched', True, False)
('★ Navaja Knife | Blue Steel', True, False)
('★ Navaja Knife | Night Stripe', True, False)
('★ Navaja Knife | Safari Mesh', True, False)
